date,quality,weave,quantity,composition,status,_id,rate,agentName,customerName
2025-05-07T07:23:59,premium ,Plain,701m,20%,Pending,de7419b5-b330-4d34-b9c1-e8f8a1d378ee,524,Priya,Kumar
2025-05-03T22:38:02,Primium,Twill,986,Nylon 40%,Confirmed,09aa2c07-9c8c-42ad-afb7-346b3fcb9353,81,Sundar,jogoco
2025-05-14T19:21:55,Primium,Spandex,753,Viscose 70%,Pending,67092703-edea-41f3-ae4e-6e6502b8aef7,433,Priya,Tom
2025-05-29T21:22:12,Primium,Spandex,438m,Nylon 40%,Confirmed,8a9a0577-b71c-4d35-b1e2-c8652fa8319e,222,Ravi,Anita
2025-05-19T08:24:39,Stand,Denim,253m,20%,Pending,2e396a03-3480-491c-837d-a971ebd243da,389,Mukilan,Anita
2025-05-04T02:05:26,Premium,Crepe,906,Cotton 100%,Pending,f0c39f14-63ad-490d-b148-ae8b54f83e7d,166,Sundar,qilyze
2025-05-19T02:29:04,Economy,Spandex,94,Polyester 80%,Pending,425808b8-256e-4cce-985f-04edff082744,206,Mukilan,Sara
2025-06-16T21:35:11,Primium,Satin,726,Polyester 80%,Pending,95b11dbc-2624-4c76-be73-0aac781741de,549,Priya,Sara
2025-05-22T22:13:22,Premium,Linen,361m,Polyester 80%,Pending,a4ea4c77-3aaf-44ef-a6dc-a877cabb4c82,442,Mukilan,qilyze
2025-05-07T02:02:24,Standard,Linen,348,Cotton 50%,Cancelled,e51fd090-a5a5-4a9f-a8d4-51f9009f34d9,333,Nisha,Kumar
2025-06-02T14:52:47,Premium,Spandex,593,Cotton 50%,Cancelled,208e7df3-9fbc-46e3-b25e-05ada6724557,210,Arun,jogoco
2025-05-24T00:45:04,Premium,Crepe,414m,Nylon 40%,Confirmed,ce20ba3b-d7e0-4843-92bb-75fba5e9d502,251,Arun,Jhon
2025-05-22T10:45:04,Premium,Linen,647,Nylon 40%,Pending,6bce0544-87d9-40dd-bca0-873dd9adb025,356,Priya,qilyze
2025-06-25T13:13:10,Primium,spandex ,255m,Nylon 40%,Pending,c74a2590-c719-4e18-acd6-baa14d06a9c0,411,Sundar,Anita
2025-05-07T17:33:12,Economy,spandex ,389m,Nylon 40%,Pending,8949243a-011d-41d6-b649-a3ddcc9194bb,260,Nisha,qilyze
2025-05-24T00:28:58,Standard,Spandex,138,Nylon 40%,Pending,b7263841-3c5a-43fd-be15-adbdcb7000b5,512,Arun,qilyze
